"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"233","67_927",927,67,104.7722805,31.4250537,104.7735466,31.4981568,14
"234","67_938",938,67,104.7722805,31.4250537,104.7328988,31.50017,12
"235","678_389",389,678,104.7685043,31.4757207,104.6219992,31.4592982,55
"236","689_601",601,689,104.7541077,31.4769291,104.7492816,31.4701158,13
"237","689_724",724,689,104.7541077,31.4769291,104.7353521,31.4806285,13
"238","705_67",67,705,104.7432218,31.4788932,104.7722805,31.4250537,13
"239","717_199",199,717,104.750537,31.4802843,104.7601253,31.4498679,13
"240","717_291",291,717,104.750537,31.4802843,104.7321556,31.4547659,11
"241","717_67",67,717,104.750537,31.4802843,104.7722805,31.4250537,12
"242","719_1016",1016,719,104.7383672,31.4803948,104.6600788,31.5128526,17
"243","719_118",118,719,104.7383672,31.4803948,104.7674238,31.4362287,13
"244","719_135",135,719,104.7383672,31.4803948,104.7654496,31.4413548,26
"245","719_291",291,719,104.7383672,31.4803948,104.7321556,31.4547659,13
"246","719_351",351,719,104.7383672,31.4803948,104.6124199,31.4576314,12
"247","719_368",368,719,104.7383672,31.4803948,104.7070146,31.4584759,12
"248","719_476",476,719,104.7383672,31.4803948,104.7271958,31.4633226,11
"249","719_523",523,719,104.7383672,31.4803948,104.7723748,31.4656126,11
"250","719_548",548,719,104.7383672,31.4803948,104.6856626,31.4673085,19
"251","719_56",56,719,104.7383672,31.4803948,104.7634654,31.4220348,15
"252","719_566",566,719,104.7383672,31.4803948,104.6792753,31.4681151,16
"253","719_653",653,719,104.7383672,31.4803948,104.6860951,31.4738378,17
"254","719_67",67,719,104.7383672,31.4803948,104.7722805,31.4250537,38
"255","719_719",719,719,104.7383672,31.4803948,104.7383672,31.4803948,12
"256","719_724",724,719,104.7383672,31.4803948,104.7353521,31.4806285,12
"257","719_836",836,719,104.7383672,31.4803948,104.685367,31.4898035,14
"258","719_881",881,719,104.7383672,31.4803948,104.7051823,31.4937412,14
"259","719_899",899,719,104.7383672,31.4803948,104.6988677,31.4952719,20
"260","719_927",927,719,104.7383672,31.4803948,104.7735466,31.4981568,21
"261","724_540",540,724,104.7353521,31.4806285,104.7301992,31.4668558,11
"262","724_67",67,724,104.7353521,31.4806285,104.7722805,31.4250537,29
"263","724_927",927,724,104.7353521,31.4806285,104.7735466,31.4981568,16
"264","736_118",118,736,104.7301857,31.4812084,104.7674238,31.4362287,11
"265","736_135",135,736,104.7301857,31.4812084,104.7654496,31.4413548,17
"266","736_56",56,736,104.7301857,31.4812084,104.7634654,31.4220348,14
"267","736_67",67,736,104.7301857,31.4812084,104.7722805,31.4250537,31
"268","736_736",736,736,104.7301857,31.4812084,104.7301857,31.4812084,13
"269","736_791",791,736,104.7301857,31.4812084,104.7300507,31.486623,12
"270","736_927",927,736,104.7301857,31.4812084,104.7735466,31.4981568,20
"271","788_653",653,788,104.7656124,31.4863085,104.6860951,31.4738378,23
"272","788_927",927,788,104.7656124,31.4863085,104.7735466,31.4981568,26
"273","791_118",118,791,104.7300507,31.486623,104.7674238,31.4362287,11
"274","791_127",127,791,104.7300507,31.486623,104.7413669,31.4384258,19
"275","791_135",135,791,104.7300507,31.486623,104.7654496,31.4413548,28
"276","791_56",56,791,104.7300507,31.486623,104.7634654,31.4220348,17
"277","791_566",566,791,104.7300507,31.486623,104.6792753,31.4681151,11
